date,totalConfirmed,totalDeaths,totalRecovered
,555,0,0
,654,18,30
,941,26,36
,2019,56,49
,2794,80,54
,4473,106,63
,6057,132,110
,7783,170,133
,9776,213,187
,9926,213,222
,14549,305,340
,17295,362,487
,20588,426,644
,24503,492,899
,24630,494,1029
,28430,567,1362
,31532,638,1763
,35402,732,2376
,40535,910,3310
,42767,1013,3949
,45117,1115,4782
,60329,1368,5987
,64378,1383,6796
,67077,1525,8190
,69187,1669,9563
,71331,1775,10993
,73334,1873,12743
,75198,2010,14561
,75724,2126,16393
,76716,2247,18507
,77801,2360,20913
,78780,2462,23120
,79363,2619,24993
,80144,2700,27585
,81003,2763,30034
,82175,2800,32809
,83393,2858,36517
,85208,2922,39423
,86982,2978,42152
,89068,3044,45111
,90954,3116,47988
,93127,3202,50693
,95531,3285,53234
,98353,3386,55371
,102134,3492,57367
,106098,3597,59780
,110051,3827,61939
,114427,4024,63803
,118828,4286,66002
,126107,4614,66586
,133543,4952,68555
,145626,5419,71870
,156520,5832,73628
,169339,6517,76916
,182002,7144,79073
